    1: (33.5294,49.2754%,27.0588%) #187E45 hsv(33.5294,49.2754%,27.0588%)
    1: (33.75,30.3797%,61.9608%) #184D9E hsv(33.75,30.3797%,61.9608%)
    1: (33.75,31.5789%,59.6078%) #185198 hsv(33.75,31.5789%,59.6078%)
    1: (33.75,37.7953%,49.8039%) #18607F hsv(33.75,37.7953%,49.8039%)
    1: (33.75,51.6129%,36.4706%) #18845D hsv(33.75,51.6129%,36.4706%)
    1: (33.9474,31.9328%,93.3333%) #1851EE hsv(33.9474,31.9328%,93.3333%)
    1: (34,20.8333%,56.4706%) #183590 hsv(34,20.8333%,56.4706%)
    1: (34,24%,49.0196%) #183D7D hsv(34,24%,49.0196%)
    1: (34,30.9278%,38.0392%) #184F61 hsv(34,30.9278%,38.0392%)
    1: (34,40%,29.4118%) #18664B hsv(34,40%,29.4118%)
    1: (34,42.8571%,27.451%) #186D46 hsv(34,42.8571%,27.451%)
    1: (34,58.8235%,20%) #189633 hsv(34,58.8235%,20%)
    1: (34,60%,19.6078%) #189932 hsv(34,60%,19.6078%)
    1: (34,63.8298%,18.4314%) #18A32F hsv(34,63.8298%,18.4314%)
    1: (34,65.2174%,18.0392%) #18A62E hsv(34,65.2174%,18.0392%)
    1: (34,69.7674%,16.8627%) #18B22B hsv(34,69.7674%,16.8627%)
    1: (34,73.1707%,16.0784%) #18BB29 hsv(34,73.1707%,16.0784%)
    1: (34.2857,20.1439%,54.5098%) #18338B hsv(34.2857,20.1439%,54.5098%)
    1: (34.2857,27.8146%,59.2157%) #184797 hsv(34.2857,27.8146%,59.2157%)
    1: (34.2857,28.7671%,57.2549%) #184992 hsv(34.2857,28.7671%,57.2549%)
    1: (34.2857,31.3433%,52.549%) #185086 hsv(34.2857,31.3433%,52.549%)
    1: (34.2857,33.7349%,32.549%) #185653 hsv(34.2857,33.7349%,32.549%)
    1: (34.2857,35%,47.0588%) #185978 hsv(34.2857,35%,47.0588%)
    1: (34.2857,41.791%,26.2745%) #186B43 hsv(34.2857,41.791%,26.2745%)
    1: (34.2857,42.4242%,25.8824%) #186C42 hsv(34.2857,42.4242%,25.8824%)
    1: (34.2857,43.0769%,25.4902%) #186E41 hsv(34.2857,43.0769%,25.4902%)
    1: (34.2857,53.1646%,30.9804%) #18884F hsv(34.2857,53.1646%,30.9804%)
